,area,bathroom,bedroom,business,condominium,garage,neighborhood,price,property,suite
0,234.0,3,4,venda,não informado,2,Ponta Negra,480000.0,casa,2
0,285.0,2,5,venda,não informado,2,Barro Vermelho,450000.0,casa,3
0,270.0,3,4,venda,0,4,Nova Descoberta,540000.0,casa,2
0,340.0,7,4,venda,0,6,Candelária,600000.0,casa,4
0,200.0,4,4,venda,não informado,2,Ponta Negra,365000.0,casa,3
0,300.0,4,4,venda,0,2,Capim Macio,480000.0,casa,3
0,170.0,3,3,venda,não informado,1,Ponta Negra,315000.0,casa,2
0,800.0,5,4,venda,0,5,Capim Macio,935000.0,casa,4
0,360.0,1,3,venda,0,4,Lagoa Nova,450000.0,casa,2
0,220.0,3,3,venda,não informado,2,Candelária,320000.0,casa,2
0,260.0,4,3,venda,não informado,3,Candelária,375000.0,casa,3
0,450.0,6,4,venda,não informado,4,Capim Macio,660000.0,casa,4
0,450.0,5,3,venda,não informado,6,Capim Macio,1500000.0,casa,3
0,173.0,3,3,venda,não informado,4,Ponta Negra,300000.0,casa,1
0,80.0,2,2,venda,não informado,4,Redinha,48000.0,casa,1
0,300.0,2,3,venda,não informado,4,Alecrim,500000.0,casa,1
0,255.0,4,3,venda,0,3,Ponta Negra,470000.0,casa,2
0,210.0,3,4,venda,0,5,Barro Vermelho,650000.0,casa,3
0,102.0,2,3,venda,250.0,2,Planalto,220000.0,casa,1
0,200.0,2,3,venda,não informado,2,Nova Descoberta,240000.0,casa,0
0,200.0,3,3,venda,0,3,Ponta Negra,650000.0,casa,2
0,180.0,3,3,venda,não informado,2,Ponta Negra,595000.0,casa,2
0,195.0,2,3,venda,0,3,Ponta Negra,370000.0,casa,1
0,400.0,6,8,venda,não informado,10,Lagoa Nova,2000000.0,casa,0
0,160.0,1,2,venda,0,1,Pajucara I,100000.0,casa,0
0,300.0,5,3,venda,não informado,2,Capim Macio,450000.0,casa,3
0,180.0,1,3,venda,não informado,5,Alecrim,310000.0,casa,0
0,232.0,3,5,venda,não informado,2,Lagoa Nova,359000.0,casa,1
0,,0,5,venda,não informado,2,Ponta Negra,300000.0,casa,2
0,200.0,3,4,venda,0,3,Lagoa Nova,370000.0,casa,2
0,79.0,2,3,venda,0,2,Candelária,280000.0,casa,1
0,300.0,3,3,venda,0,4,Ponta Negra,280000.0,casa,2
0,270.0,5,4,venda,800.0,0,Capim Macio,725000.0,casa,2
0,237.0,5,3,venda,não informado,4,Lagoa Nova,750000.0,casa,3
0,450.0,6,4,venda,não informado,5,Capim Macio,550000.0,casa,4
0,211.0,5,4,venda,não informado,3,Capim Macio,480000.0,casa,4
0,350.0,4,3,venda,não informado,4,Lagoa Nova,380000.0,casa,3
0,222.0,3,3,venda,não informado,4,Candelária,279000.0,casa,1
0,200.0,3,4,venda,não informado,2,Ponta Negra,340000.0,casa,2
0,582.0,6,3,venda,0,6,Capim Macio,785000.0,casa,3
0,120.0,1,2,venda,não informado,1,Nossa Senhora da Apresentação,95000.0,casa,0
0,500.0,4,4,venda,não informado,2,Candelária,399000.0,casa,2
0,131.0,3,3,venda,0,0,Candelária,160000.0,casa,1
0,360.0,5,4,venda,0,4,Candelária,1200000.0,casa,2
0,98.0,2,3,venda,0,0,Cidade Alta,150000.0,casa,0
0,350.0,3,5,venda,0,5,Pitimbu,250000.0,casa,2
0,450.0,5,5,venda,não informado,2,Barro Vermelho,480000.0,casa,2
0,182.0,3,3,venda,0,3,Ponta Negra,348000.0,casa,1
0,290.0,3,6,venda,não informado,3,Ponta Negra,399000.0,casa,3
0,260.0,2,4,venda,não informado,4,Nova Descoberta,360000.0,casa,1
0,300.0,4,5,venda,não informado,4,Ponta Negra,449000.0,casa,2
0,200.0,3,3,venda,0,3,Ponta Negra,390000.0,casa,2
0,250.0,3,3,venda,0,3,Neópolis,250000.0,casa,2
0,240.0,5,3,venda,não informado,4,Pitimbu,295000.0,casa,3
0,300.0,4,4,venda,0,2,Neópolis,330000.0,casa,3
0,240.0,2,2,venda,0,2,Lagoa Azul,140000.0,casa,1
0,180.0,2,3,venda,0,4,Neópolis,270000.0,casa,1
0,220.0,4,4,venda,0,4,Pitimbu,430000.0,casa,2
0,321.0,4,5,venda,não informado,2,Ponta Negra,550000.0,casa,3
0,180.0,3,3,venda,não informado,6,Ponta Negra,430000.0,casa,2
0,300.0,4,4,venda,0,2,Capim Macio,650000.0,casa,3
0,171.0,2,3,venda,0,2,Potengi,230000.0,casa,1
0,150.0,4,3,venda,0,3,Ponta Negra,340000.0,casa,2
